example_id,data_split,seed,candidate_library,scheduler,num_rounds,epsilon_target,schedule_id,schedule,score_random,score_confidence,score_entropy,score_dependency,score_dprm_itemwise,score_diag_um,score_projection,score_residualized,score_budgeted,actual_response_power,actual_terminal_gain,frontier_width_histogram,gamma_pinv,gamma_ridge,gram_delta,ridge_multiplier,used_pinv,adaptation_terminal_labels,width_weight_source
s0-i1,development,0,oracle,dprm_rollout,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,subset_exact,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,subset_beam_8,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,subset_beam_32,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,saps_diagonal,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,p_saps_residualized,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,p_saps_projection,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,b_saps_budgeted,1,0.15,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0316741333019828,-0.0,0.0,-7.81849958233036e-15,,0.0,9.152788647981659,9.152788647981659,0.0316741333019828,-0.06322684103357382,-0.6872155270864234,"{""2"": 11}",9.152788647981659,9.15255375237178,5.253154924943096,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,random_balanced,2,0.01,fe4c693fb354b1f7,"[[0, 3, 4, 6, 9, 10], [1, 2, 5, 7, 8, 11]]",0.001014490348996145,-0.28326706765440085,0.5284316491008868,-3.696115365516921e-15,,0.6091400241676563,12.861672582955213,12.861672582955213,0.001014490348996145,0.0,2.5678972677863263,"{""1"": 7, ""2"": 4}",12.861672582955213,12.860927222399278,3.9357206484768663,1e-05,True,40,development_isotonic_frozen
s0-i1,development,0,oracle,confidence,2,0.01,7aeb091329b5572c,"[[0, 1, 4, 5, 8, 11], [2, 3, 6, 7, 9, 10]]",0.001014490348996145,-0.23076361984520852,0.5835427866292837,-3.6635256949113216e-15,,0.5134021204261303,8.175213649421739,8.175213649421739,0.001014490348996145,0.0,1.3828119054312067,"{""2"": 5, ""1"": 6}",8.175213649421739,8.175019828803316,5.294722265223066,1e-05,True,40,development_isotonic_frozen
