example_id,seed,schedule_id,schedule,scheduler,score_diag_um,score_projection,score_residualized,score_budgeted,actual_response_power,actual_terminal_gain,frontier_width_histogram
s1-i13,1,45a2b080c0310166,"[[3, 9, 10, 11], [0, 5, 7, 8], [1, 2, 4, 6]]",random_balanced,0.8770010861965566,0.8770010861965566,0.8770010861965566,0.08653077059028655,0.2618759679365527,0.5117381829964935,"{""1"": 9, ""2"": 2}"
s1-i13,1,491923bd03e578fb,"[[2, 3, 4, 11], [0, 1, 6, 7], [5, 8, 9, 10]]",confidence,0.9176006293966779,0.9176006293966779,0.9176006293966779,0.09042278535530009,0.09459066629175393,0.307555956358764,"{""2"": 1, ""1"": 10}"
s1-i13,1,0432ead2ab968be8,"[[2, 3, 4, 11], [0, 1, 6, 10], [5, 7, 8, 9]]",entropy,0.9176006293966779,0.9176006293966779,0.9176006293966779,0.09042278535530009,3.6108515177959934,-1.900224070418011,"{""2"": 1, ""1"": 10}"
s1-i13,1,5d983c744c399558,"[[1, 6, 8, 11], [0, 4, 5, 7], [2, 3, 9, 10]]",dependency_cmi,1.0,1.0,1.0,0.09832187834349396,0.0035221812512249264,0.059347967540809066,"{""1"": 11}"
s1-i13,1,ee90a098189aace4,"[[6, 8, 9, 11], [0, 5, 7, 10], [1, 2, 3, 4]]",min_within_batch_tc,0.8489124307086613,0.8489124307086613,0.8489124307086613,0.08383809344982207,0.13061576685199794,-0.3614080337402559,"{""1"": 9, ""2"": 2}"
s1-i13,1,308e8057e39b20e8,"[[1, 2, 3, 4], [0, 5, 6, 7], [8, 9, 10, 11]]",dprm_myopic,0.8489124307086613,0.8489124307086613,0.8489124307086613,0.08383809344982207,2.2100593038153153,1.4866268206296143,"{""1"": 9, ""2"": 2}"
s1-i13,1,308e8057e39b20e8,"[[1, 2, 3, 4], [0, 5, 6, 7], [8, 9, 10, 11]]",dprm_rollout,0.8489124307086613,0.8489124307086613,0.8489124307086613,0.08383809344982207,2.2100593038153153,1.4866268206296143,"{""1"": 9, ""2"": 2}"
s1-i13,1,758cbc2b1c8e6b24,"[[1, 2, 9, 10], [0, 5, 7, 8], [3, 4, 6, 11]]",subset_exact,1.0,1.0,1.0,0.09832187834349396,2.4022268341561546,-1.5499118794809448,"{""1"": 11}"
s1-i13,1,758cbc2b1c8e6b24,"[[1, 2, 9, 10], [0, 5, 7, 8], [3, 4, 6, 11]]",subset_beam_8,1.0,1.0,1.0,0.09832187834349396,2.4022268341561546,-1.5499118794809448,"{""1"": 11}"
s1-i13,1,758cbc2b1c8e6b24,"[[1, 2, 9, 10], [0, 5, 7, 8], [3, 4, 6, 11]]",subset_beam_32,1.0,1.0,1.0,0.09832187834349396,2.4022268341561546,-1.5499118794809448,"{""1"": 11}"
s1-i13,1,758cbc2b1c8e6b24,"[[1, 2, 9, 10], [0, 5, 7, 8], [3, 4, 6, 11]]",saps_diagonal,1.0,1.0,1.0,0.09832187834349396,2.4022268341561546,-1.5499118794809448,"{""1"": 11}"
s1-i13,1,758cbc2b1c8e6b24,"[[1, 2, 9, 10], [0, 5, 7, 8], [3, 4, 6, 11]]",p_saps_residualized,1.0,1.0,1.0,0.09832187834349396,2.4022268341561546,-1.5499118794809448,"{""1"": 11}"
s1-i13,1,758cbc2b1c8e6b24,"[[1, 2, 9, 10], [0, 5, 7, 8], [3, 4, 6, 11]]",p_saps_projection,1.0,1.0,1.0,0.09832187834349396,2.4022268341561546,-1.5499118794809448,"{""1"": 11}"
s1-i13,1,758cbc2b1c8e6b24,"[[1, 2, 9, 10], [0, 5, 7, 8], [3, 4, 6, 11]]",b_saps_budgeted,1.0,1.0,1.0,0.09832187834349396,2.4022268341561546,-1.5499118794809448,"{""1"": 11}"
s1-i13,1,45a2b080c0310166,"[[3, 9, 10, 11], [0, 5, 7, 8], [1, 2, 4, 6]]",random_balanced,0.8770010861965566,0.8770010861965566,0.8770010861965566,0.2522850358724731,35.36399560025387,5.9467634558853835,"{""1"": 9, ""2"": 2}"
s1-i13,1,491923bd03e578fb,"[[2, 3, 4, 11], [0, 1, 6, 7], [5, 8, 9, 10]]",confidence,0.9176006293966779,0.9176006293966779,0.9176006293966779,0.2629745749793566,57.53031272630894,7.584873942677554,"{""2"": 1, ""1"": 10}"
s1-i13,1,0432ead2ab968be8,"[[2, 3, 4, 11], [0, 1, 6, 10], [5, 7, 8, 9]]",entropy,0.9176006293966779,0.9176006293966779,0.9176006293966779,0.2629745749793566,59.019729776987745,7.682429939608154,"{""2"": 1, ""1"": 10}"
