scheduler,mean_gain,success_rate,response_power,planning_time_sec,n_model_calls,n_reward_calls
b_saps_budgeted,0.9525460429579861,0.5260416666666666,5.795019239705013,0.0009658183286470982,96.0,96.0
confidence,0.8377979513014124,0.5390625,5.5665605833683856,0.0013381689350353554,96.0,96.0
dependency_cmi,0.9909685884803888,0.5104166666666666,5.843826722642881,0.3960643633084449,96.0,96.0
dprm_myopic,0.8170601026219854,0.5026041666666666,4.742087987385787,5.8557633262050025e-05,96.0,96.0
dprm_rollout,0.8170601026219854,0.5026041666666666,4.742087987385787,5.353142478270456e-05,96.0,96.0
entropy,0.8088967780058408,0.5052083333333334,5.275768117620422,0.0013383837019015725,96.0,96.0
min_within_batch_tc,0.9315669003876884,0.515625,5.446036887342664,0.39680720333732705,96.0,96.0
p_saps_projection,0.9525460429579861,0.5260416666666666,5.795019239705013,0.000982455496947902,96.0,96.0
p_saps_residualized,0.9525460429579861,0.5260416666666666,5.795019239705013,0.0009495324072001191,96.0,96.0
random_balanced,0.9644110428858782,0.5234375,5.535950834908317,6.197748856114534e-05,96.0,96.0
saps_diagonal,0.9447797529767419,0.5182291666666666,5.797698422980113,0.0009143571066185056,96.0,96.0
subset_beam_32,0.9525460429579861,0.5260416666666666,5.795019239705013,0.000978718856155562,96.0,96.0
subset_beam_8,0.9525460429579861,0.5260416666666666,5.795019239705013,0.0010111331976077054,96.0,96.0
subset_exact,0.9525460429579861,0.5260416666666666,5.795019239705013,0.001033535506091236,96.0,96.0
