method,estimate,ci_low,ci_high
b_saps_budgeted,0.035852998328185864,-0.045923233801364545,0.1366645751937164
confidence,-0.06837048573563403,-0.3205648591910996,0.1626686073186479
dependency_cmi,0.02581751672044269,-0.23276573734998085,0.3241219393418781
dprm_myopic,-0.0008401893256046386,-0.19081471656080076,0.18549476755470487
dprm_rollout,-0.11196536632378115,-0.2975108112571135,0.058885588378330245
entropy,0.0275401473506698,-0.2221393981420926,0.27472014138272016
min_within_batch_tc,0.0019037367030904024,-0.2965982020731146,0.31660052868383726
p_saps_projection,-0.03665166542699001,-0.2438206024994947,0.17010804628345344
p_saps_residualized,0.15466449600893695,-0.0830691320312211,0.4155620777935732
saps_diagonal,0.046751704542901326,-0.0654702497276085,0.15718763545908446
subset_beam_32,-0.06383416815200577,-0.2578842110883289,0.09724905200263866
subset_beam_8,0.03202680834784733,-0.08080066262075955,0.1592451261526736
subset_exact,-0.05788267402615706,-0.26958160285072924,0.134109587596056
