scheduler,mean_gain,success_rate,response_power,planning_time_sec,n_model_calls,n_reward_calls,adaptation_terminal_labels
b_saps_budgeted,1.0753790987160299,0.3819444444444444,0.5185388554763901,0.0031340882940437747,96.0,96.0,40.0
confidence,1.0235719297565202,0.40625,0.4983052908947319,0.00100253658537339,96.0,96.0,40.0
dependency_cmi,0.9800021563646051,0.3333333333333333,0.5307020049487365,0.2951027550362697,96.0,96.0,40.0
dprm_myopic,0.9979867291994446,0.3385416666666667,0.5041640364970641,0.16681628785186653,96.0,96.0,40.0
dprm_rollout,1.082307789278647,0.390625,0.5040335075450506,26.795814478677737,96.0,96.0,40.0
entropy,0.8925888166356499,0.3645833333333333,0.4899962349409949,0.0010098374922462325,96.0,96.0,40.0
min_within_batch_tc,0.9478973889777164,0.359375,0.564345259686228,0.2950530394890747,96.0,96.0,40.0
p_saps_projection,0.9835519079213108,0.3263888888888889,0.4939910262749807,1.1613019082360552,96.0,96.0,490.0
p_saps_residualized,1.009637940606545,0.3645833333333333,0.48814649654226927,1.1613019082360552,96.0,96.0,69.79166666666667
random_balanced,1.048715092211978,0.3697916666666667,0.515552093562563,0.00013633666256080486,96.0,96.0,40.0
saps_diagonal,1.0581576187561441,0.3732638888888889,0.5003082877119766,0.005210868762838395,96.0,96.0,40.0
subset_beam_32,2.209067156906503,0.625,0.5036914653338047,0.0023085567033073553,96.0,96.0,40.0
subset_beam_8,2.115945654084213,0.609375,0.47526304472348335,0.001585248096994797,96.0,96.0,40.0
subset_exact,2.233387574414397,0.6354166666666666,0.49683184992226487,63.161937520557935,96.0,96.0,40.0
